id,occurred_at,title,indicator_id,direction,magnitude,geography,confidence,triangulation_count,primary_url,summary,rationale,codebook_version
2b864cee-de3c-42b4-bf51-bc89e9f41fb1,2026-04-20T00:00:00+00:00,Stochastic wage suppression on gig platforms and how to organize against it,4.N.a,1,minor,global,0.8,1,https://arxiv.org/abs/2604.15962,"A new research paper models how digital labor platforms, including those used for AI data annotation, suppress wages and demonstrates how targeted collective action by workers can effectively counter this.",Researchers published a model showing how gig platforms suppress wages and how targeted collective action can increase worker power.,v0.1
cce2bba4-76e2-4314-b06b-6d291e664ae5,2026-04-20T00:00:00+00:00,Access Over Deception: Fighting Deceptive Patterns through Accessibility,3.N.b,1,minor,global,0.9,1,https://arxiv.org/abs/2604.15338,Researchers published a paper exploring how accessibility guidelines like WCAG can be used to combat specific deceptive UI patterns.,"Academics published research naming specific dark patterns (e.g., Auto-Play) and proposing accessibility guidelines to combat them.",v0.1
7d7fc377-f0ef-4ced-8efc-7f60ef71c77f,2026-04-20T00:00:00+00:00,Towards A Framework for Levels of Anthropomorphic Deception in Robots and AI,3.N.b,1,minor,global,0.8,1,https://arxiv.org/abs/2604.15418,"Researchers proposed a framework to evaluate 'anthropomorphic deception' in AI and robots, aiming to prevent exploitative design practices that mislead users.","Academics published a framework critiquing anthropomorphic deception in AI, naming it as a specific design pattern that can be exploitative.",v0.1
b543a366-6425-4dde-865d-f71a4fec7b4e,2026-04-19T00:00:00+00:00,EU Commission selects four cloud providers under €180m sovereign cloud tender,7.L.c,1,minor,europe,0.8,2,https://www.datacenterdynamics.com/en/news/eu-commission-selects-four-cloud-providers-under-180m-sovereign-cloud-tender/,The European Commission has selected four European cloud providers for a €180 million sovereign cloud infrastructure tender.,"EU Commission awarded a €180m tender to four European providers to build sovereign cloud infrastructure, advancing public compute options.",v0.1
c0cebed6-3ae2-4113-a48a-71e575e2f4e3,2026-04-18T00:00:00+00:00,Data center lobby secured EU provision to keep environmental impact data confidential - report,7.N.c,1,minor,europe,0.8,1,https://www.datacenterdynamics.com/en/news/data-center-lobby-secured-eu-provision-to-keep-environmental-impact-data-confidential-report/,"A new report reveals that a lobbying group representing major tech companies, including Microsoft, Amazon, Google, and Meta, successfully secured a provision in the EU to keep data center environmental impact data confidential.","A new report scrutinizes tech giants' lobbying efforts, surfacing their influence in securing an EU provision to hide environmental data.",v0.1
a1838613-26a8-4d50-b3c1-b549dff9b640,2026-04-17T00:00:00+00:00,EU Commission awards 180 million euro cloud contract to four European providers,7.L.c,1,minor,europe,0.8,1,https://www.reuters.com/business/media-telecom/eu-commission-awards-180-million-euro-cloud-contract-four-european-providers-2026-04-17/,"The European Commission has awarded a €180 million cloud computing contract to four European providers, aiming to bolster sovereign infrastructure.","EU Commission awarded a €180M contract to four European cloud providers, advancing sovereign compute infrastructure.",v0.1
65bf015b-48e0-425e-b4cb-1dfde3851e8f,2026-04-17T00:00:00+00:00,Anthropic CEO met White House chief of staff as US seeks access to Mythos model,1.L.a,1,minor,us,0.8,1,https://www.ft.com/content/c9f5b690-a10e-4c66-9245-017f8bfbc7b4,The CEO of Anthropic met with the White House chief of staff as the US government seeks access to evaluate the company's new Mythos model.,"The White House is actively seeking access to Anthropic's Mythos model, demonstrating executive pressure for frontier model evaluation.",v0.1
84298253-b710-4d12-99fa-b4e55c819de0,2026-04-16T00:00:00+00:00,Anthropic publishes Claude Opus 4.7 system card,1.D.a,1,minor,us,0.9,1,https://www.anthropic.com/claude-opus-4-7-system-card,,Detailed system card at release maintains frontier-lab transparency baseline.,v0.1
b67f352a-1f1a-4ad2-adb2-bfc9eafc095e,2026-04-16T00:00:00+00:00,Commission proposes measures to Google on sharing search engine data with third parties under Digital Markets Act,7.L.b,1,minor,europe,0.9,1,https://digital-strategy.ec.europa.eu/en/news/commission-proposes-measures-google-sharing-search-engine-data-third-parties-under-digital-markets,The European Commission proposed measures under the Digital Markets Act to mandate Google's sharing of search engine data with third parties.,The EU Commission proposed measures under the DMA requiring Google to share search engine data with third parties.,v0.1
cf011995-d647-4b14-b1f7-f108f93467a9,2026-04-16T00:00:00+00:00,Second meeting of Special Panel to advise President von der Leyen on child online safety,3.L.b,1,minor,europe,0.8,1,https://digital-strategy.ec.europa.eu/en/news/second-meeting-special-panel-advise-president-von-der-leyen-child-online-safety,A special panel convened to advise European Commission President Ursula von der Leyen on strategies for ensuring child online safety.,"EU Commission special panel convened to advise on strategies for child online safety, signaling ongoing policy development.",v0.1
